Employee #,Password,Roles,Department
10001,1234,Admin,Admin
10002,1234,Admin,Admin
10003,1234,Admin,Admin
10004,1234,Admin,Admin
10005,1234,Admin,IT
10006,1234,Admin,HR
10007,1234,User,HR
10008,1234,User,HR
10009,1234,User,HR
10010,1234,User,Finance
10011,1234,User,Finance
10012,1234,User,Finance
10013,1234,User,Finance
10014,1234,User,Finance
10015,1234,User,Sales
10016,1234,User,Sales
10017,1234,User,Sales
10018,1234,User,Sales
10019,1234,User,Sales
10020,1234,User,Sales
10021,1234,User,Sales
10022,1234,User,Sales
10023,1234,User,Sales
10024,1234,User,Sales
10025,1234,User,Sales
10026,1234,User,Sales
10027,1234,User,Sales
10028,1234,User,Sales
10029,1234,User,Sales
10030,1234,User,Sales
10031,1234,User,Sales
10032,1234,User,Sales
10033,1234,User,Logistics
10034,1234,User,CSR
